net_type,pretrained,normalized,full_data,avg_valid_acc,avg_valid_f1,avg_valid_precision,avg_valid_recall,avg_valid_roc_auc
DenseNet121,not pretrained,normalized,full data,0.9597197233672672,0.9502383948670124,0.9553002172426848,0.945258953254733,0.9692261753194106
DenseNet121,not pretrained,not normalized,full data,0.9722733527755685,0.9657779700812503,0.9646137816894047,0.9669782793364295,0.9773312779966776
DenseNet121,not pretrained,not normalized,partial data,0.9028333333333333,0.875758649686293,0.9013118017714832,0.8550995024875622,0.9655937928113059
DenseNet121,pretrained,not normalized,full data,0.942211112373594,0.9281699291020536,0.9330985915492958,0.9232930598482719,0.939174191122152
DenseNet201,not pretrained,normalized,full data,0.9583570566398688,0.9489657060833085,0.9484947789250355,0.9494564574021942,0.9743566870103879
DenseNet201,not pretrained,not normalized,full data,0.9717387486959127,0.9650504052828902,0.9658719208858068,0.9643173584191697,0.980592099327686
DenseNet201,not pretrained,not normalized,partial data,0.8957499999999999,0.8625099567382584,0.9190418532623881,0.8136401326699835,0.9636713138599089
DenseNet201,pretrained,not normalized,full data,0.9488467219634132,0.93577196336348345,0.950498492928356,0.9214948019106491,0.9444559091583004
ResNet152_96,not pretrained,normalized,full data,0.9429501924434626,0.9313271893865803,0.914289018928417,0.9490518863872033,0.9657537161029252
ResNet152_96,not pretrained,not normalized,full data,0.9528803545051698,0.9419953166526083,0.9392520063512844,0.94558821665967,0.9635064140456104
ResNet152_96,not pretrained,not normalized,partial data,0.8484166666666667,0.797929208361604,0.8626155190574782,0.7446102819237148,0.9244428117217702
ResNet18_96,not pretrained,normalized,full data,0.9480288779065796,0.9360741003613262,0.9393312949288268,0.9329425649891011,0.9674550579815451
ResNet18_96,not pretrained,not normalized,full data,0.9684836950346551,0.9610575601990723,0.961277442431057,0.9608609626859335,0.9783276526344398
ResNet18_96,not pretrained,not normalized,partial data,0.891,0.866758316746552,0.8556580033151537,0.8795605306799337,0.957888451069624
ResNet34,pretrained,not normalized,full data,0.9710714691512328,0.9642907234424528,0.9644801077380618,0.9641014135068432,0.9953014307622186
VGG11,not pretrained,normalized,full data,0.9595527112892572,0.949998897273489,0.9578748890059177,0.9422589494252829,0.9741019229311016
VGG11,not pretrained,not normalized,full data,0.9605824013504959,0.9509580854046428,0.9557423299803474,0.946326228062529,0.9657609689062815
VGG11,not pretrained,not normalized,partial data,0.8671249999999999,0.8378459389622179,0.8234872492951031,0.8541666666666667,0.9408811398692158
VGG19,not pretrained,normalized,full data,0.9597690678448609,0.9499208098233346,0.9643627488327642,0.9359238731925826,0.9741489143053952
VGG19,not pretrained,not normalized,full data,0.9727303715486877,0.9662291016632895,0.9684713984810629,0.9640084367730283,0.9814798234334058
VGG19,not pretrained,not normalized,partial data,0.865625,0.8285583070139302,0.8504112220676318,0.8078358208955224,0.9382182159852909
